date,equity
2019-04-23,578264.1963706204
2019-04-24,638980.2198669233
2019-04-25,585355.949857947
2019-04-28,604757.4925497208
2019-04-29,594952.4019832474
2019-04-30,595698.4234240602
2019-05-02,585134.5560847556
2019-05-05,573965.0204119941
2019-05-06,578364.4506901448
2019-05-07,577491.8415308445
2019-05-08,575373.3788213264
2019-05-09,571536.5065416829
2019-05-12,571909.8637266743
2019-05-13,574518.1586121412
2019-05-14,574264.7856130239
2019-05-15,573439.8692955846
2019-05-16,569153.2887834543
2019-05-19,569466.1566519216
2019-05-20,565511.2250484631
2019-05-21,568824.1667642506
2019-05-22,574972.7534232633
2019-05-23,569394.4783806234
2019-05-26,567281.8318179573
2019-05-27,566113.9204203851
2019-05-28,566578.7136106782
2019-05-29,568991.851541384
2019-05-30,569892.5712736219
2019-06-02,565589.6920645583
2019-06-03,562194.9304342851
2019-06-04,560623.6891772824
2019-06-06,560086.1940689756
2019-06-10,556737.6771581746
2019-06-11,554661.7215171158
2019-06-12,554094.2125167116
2019-06-13,553845.9567328871
2019-06-16,547545.0798940379
2019-06-17,550768.9303886552
2019-06-18,550960.1245182101
2019-06-19,550033.748620391
2019-06-20,551219.8487835383
2019-06-23,546762.6845680466
2019-06-24,550447.2400703081
2019-06-25,549848.2575404941
2019-06-26,547282.9999944436
2019-06-27,546526.7275417154
2019-06-30,540215.0215936861
2019-07-01,542059.476238262
2019-07-02,592212.7424820863
2019-07-03,548805.2522511538
2019-07-04,547493.2678765438
2019-07-07,569823.843510745
2019-07-08,567840.399951799
2019-07-09,568881.274174402
2019-07-10,606121.2705070492
2019-07-11,570379.844167972
2019-07-14,570145.0054597611
2019-07-15,570873.3904851554
2019-07-16,628989.5759009027
2019-07-17,577538.2560483207
2019-07-18,577406.44909013
2019-07-21,574489.2987725519
2019-07-22,576677.4162782693
2019-07-23,578899.6336107025
2019-07-24,580735.3650102156
2019-07-25,575243.1002632554
2019-07-28,569955.2558893351
2019-07-29,571090.3531065342
2019-07-30,572281.5897520169
2019-07-31,574624.3621556907
2019-08-01,576135.4682770168
2019-08-04,574803.5448603726
2019-08-05,575119.7956438431
2019-08-06,571427.2433758992
2019-08-07,572847.7084994132
2019-08-08,567502.5621930694
2019-08-11,565834.699342749
2019-08-12,566796.7868450475
2019-08-13,564697.064949745
2019-08-14,598982.9248202312
2019-08-15,615707.3260629348
2019-08-18,560054.3707057242
2019-08-19,561160.9402266144
2019-08-20,617510.3578467511
2019-08-21,617066.3656317826
2019-08-22,559318.3383651014
2019-08-25,613762.3758147575
2019-08-26,553253.5700024373
2019-08-27,555401.7367253539
2019-08-28,551707.9342301809
2019-08-29,552267.4537561673
2019-09-01,547177.061810367
2019-09-02,542131.6448953174
2019-09-03,549584.9254815098
2019-09-04,549657.9300918737
2019-09-05,549751.1321886987
2019-09-08,546238.2854929807
2019-09-09,544440.3373770579
2019-09-10,542328.9555078484
2019-09-11,543196.0557893607
2019-09-12,538054.1288539146
2019-09-15,532866.1388942489
2019-09-16,527185.7168913467
2019-09-17,535443.2722623863
2019-09-18,543277.1105651566
2019-09-19,540359.3994399313
2019-09-22,530728.2314814065
2019-09-23,588998.5278032429
2019-09-24,531130.3426198432
2019-09-25,530504.8093299773
2019-09-26,528190.1915998176
2019-09-29,567358.6459607453
2019-09-30,530794.5942804897
2019-10-01,534707.427244158
2019-10-02,532046.4837067607
2019-10-03,629350.9779042854
2019-10-10,688947.6392950363
2019-10-14,531261.9880822935
2019-10-15,589314.1348219763
